Trial,Clockwise,InputSpeed(deg/s),Inputtheta(deg),x0,y0,theta0,x1,y1,theta1,x*,y*,r*,delta_theta,omega_hat,v_hat,gamma
1,True,60,90,8.832432972423566e-06,5.317243507922115e-06,0.0003313954283557725,0.005765135650742975,0.005307550954621656,-1.5752914565885947,6.917688243339871e-06,0.005783141845642169,0.005777824919403074,1.488058558898934,0.5952234235595736,0.0034390967292549147,-1.2254725643663538
2,True,60,90,8.854096635299457e-06,5.506303127530945e-06,0.00033172022443550314,0.005743905663991748,0.005308174034021042,-1.5745920834099565,6.945131376450472e-06,0.005760250959041764,0.005754744972535428,1.4918263345872051,0.5967305338348821,0.0034340320395446697,-1.226700055288639
3,True,60,90,8.896286461322967e-06,5.58205292335309e-06,0.00033586153016957693,0.00578468870550328,0.005322670358240933,-1.574865812395441,6.949064082815027e-06,0.005803275835557362,0.0057976941096325564,1.4874692604680244,0.5949877041872098,0.0034495567078699843,-1.2250683737574541
4,True,60,90,8.810031915046905e-06,5.659837501758772e-06,0.000331065345279532,0.005757939674076844,0.005312269590516185,-1.5747302707640227,6.899900676665509e-06,0.005775309835095128,0.0057696503137825,1.4901243876845909,0.5960497550738364,0.0034389986563917426,-1.2260742895175571
5,True,60,90,8.897426657295565e-06,5.479018515610468e-06,0.00033114436276778913,0.005765194845886447,0.005307798807077928,-1.5752917505738784,6.984137706336595e-06,0.005783288023120963,0.0057778093213927805,1.4880762443957516,0.5952304977583006,0.003439128318325174,-1.225479655732959
6,True,60,90,8.913811566059333e-06,5.540624840297256e-06,0.00033223928874785534,0.005785822955392897,0.0053228716871990215,-1.5748592985189935,6.987201380433995e-06,0.005804403613013457,0.005798863308220961,1.4873293379326118,0.5949317351730448,0.0034499278099911993,-1.2250083502961413
7,True,60,90,8.903996282233145e-06,5.528302796111639e-06,0.0003332391748146986,0.00579485125724375,0.0053048943603688885,-1.5748090535699035,6.967743329595443e-06,0.005815928241645068,0.005810400261466628,1.482397720166076,0.5929590880664304,0.0034453296403402006,-1.2230160051643177
8,True,60,90,8.912310240358923e-06,5.579095326319857e-06,0.0003354727640188666,0.005783876433299221,0.005322625274976898,-1.5748733716109669,6.967643388017426e-06,0.0058023739113732264,0.005796795142238292,1.4876050719275,0.595042028771,0.0034493367418073507,-1.2251255665209944
9,True,60,90,8.868660948132815e-06,5.540275811315937e-06,0.0003343226235105533,0.005715088893614853,0.00529591164574601,-1.5747734392614001,6.954788086654517e-06,0.005730168690352777,0.005724628734466962,1.4945313844781931,0.5978125537912773,0.0034222549232586223,-1.2278556585452416
10,True,60,90,8.896535794259956e-06,5.49554121490538e-06,0.0003326843047523916,0.005785640693764324,0.005322908473941521,-1.57485956148475,6.967406227580738e-06,0.005804174552970398,0.00579867933265106,1.4873722540956513,0.5949489016382605,0.0034499178999132297,-1.2250257999540615
